,index,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region,Month
0,48807,,Afghanistan,33.93911,67.709953,2020-07-27,36263,1269,25198,9796,Eastern Mediterranean,7
1,48808,,Albania,41.1533,20.1683,2020-07-27,4880,144,2745,1991,Europe,7
2,48809,,Algeria,28.0339,1.6596,2020-07-27,27973,1163,18837,7973,Africa,7
3,48810,,Andorra,42.5063,1.5218,2020-07-27,907,52,803,52,Europe,7
4,48811,,Angola,-11.2027,17.8739,2020-07-27,950,41,242,667,Africa,7
5,48812,,Antigua and Barbuda,17.0608,-61.7964,2020-07-27,86,3,65,18,Americas,7
6,48813,,Argentina,-38.4161,-63.6167,2020-07-27,167416,3059,72575,91782,Americas,7
7,48814,,Armenia,40.0691,45.0382,2020-07-27,37390,711,26665,10014,Europe,7
8,48815,Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-27,113,3,109,1,Western Pacific,7
9,48816,New South Wales,Australia,-33.8688,151.2093,2020-07-27,3699,49,2989,661,Western Pacific,7
10,48817,Northern Territory,Australia,-12.4634,130.8456,2020-07-27,31,0,30,1,Western Pacific,7
11,48818,Queensland,Australia,-27.4698,153.0251,2020-07-27,1076,6,1063,7,Western Pacific,7
12,48819,South Australia,Australia,-34.9285,138.6007,2020-07-27,447,4,441,2,Western Pacific,7
13,48820,Tasmania,Australia,-42.8821,147.3272,2020-07-27,229,13,215,1,Western Pacific,7
14,48821,Victoria,Australia,-37.8136,144.9631,2020-07-27,9049,83,3817,5149,Western Pacific,7
15,48822,Western Australia,Australia,-31.9505,115.8605,2020-07-27,659,9,647,3,Western Pacific,7
16,48823,,Austria,47.5162,14.5501,2020-07-27,20558,713,18246,1599,Europe,7
17,48824,,Azerbaijan,40.1431,47.5769,2020-07-27,30446,423,23242,6781,Europe,7
18,48825,,Bahamas,25.025885,-78.035889,2020-07-27,382,11,91,280,Americas,7
19,48826,,Bahrain,26.0275,50.55,2020-07-27,39482,141,36110,3231,Eastern Mediterranean,7
20,48827,,Bangladesh,23.685,90.3563,2020-07-27,226225,2965,125683,97577,South-East Asia,7
21,48828,,Barbados,13.1939,-59.5432,2020-07-27,110,7,94,9,Americas,7
22,48829,,Belarus,53.7098,27.9534,2020-07-27,67251,538,60492,6221,Europe,7
23,48830,,Belgium,50.8333,4.469936,2020-07-27,66428,9822,17452,39154,Europe,7
24,48831,,Benin,9.3077,2.3158,2020-07-27,1770,35,1036,699,Africa,7
25,48832,,Bhutan,27.5142,90.4336,2020-07-27,99,0,86,13,South-East Asia,7
26,48833,,Bolivia,-16.2902,-63.5887,2020-07-27,71181,2647,21478,47056,Americas,7
27,48834,,Bosnia and Herzegovina,43.9159,17.6791,2020-07-27,10498,294,4930,5274,Europe,7
28,48835,,Brazil,-14.235,-51.9253,2020-07-27,2442375,87618,1846641,508116,Americas,7
29,48836,,Brunei,4.5353,114.7277,2020-07-27,141,3,138,0,Western Pacific,7
30,48837,,Bulgaria,42.7339,25.4858,2020-07-27,10621,347,5585,4689,Europe,7
31,48838,,Burkina Faso,12.2383,-1.5616,2020-07-27,1100,53,926,121,Africa,7
32,48839,,Cabo Verde,16.5388,-23.0418,2020-07-27,2328,22,1550,756,Africa,7
33,48840,,Cambodia,11.55,104.9167,2020-07-27,226,0,147,79,Western Pacific,7
34,48841,,Cameroon,3.848,11.5021,2020-07-27,17110,391,14539,2180,Africa,7
35,48842,Alberta,Canada,53.9333,-116.5765,2020-07-27,10390,186,0,10204,Americas,7
36,48843,British Columbia,Canada,53.7267,-127.6476,2020-07-27,3500,193,0,3307,Americas,7
37,48844,Manitoba,Canada,53.7609,-98.8139,2020-07-27,400,7,0,393,Americas,7
38,48845,New Brunswick,Canada,46.5653,-66.4619,2020-07-27,170,2,0,168,Americas,7
39,48846,Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-07-27,266,3,0,263,Americas,7
40,48847,Nova Scotia,Canada,44.682,-63.7443,2020-07-27,1067,63,0,1004,Americas,7
41,48848,Ontario,Canada,51.2538,-85.3232,2020-07-27,40673,2807,0,37866,Americas,7
42,48849,Prince Edward Island,Canada,46.5107,-63.4168,2020-07-27,36,0,0,36,Americas,7
43,48850,Quebec,Canada,52.9399,-73.5491,2020-07-27,58728,5667,0,53061,Americas,7
44,48851,Saskatchewan,Canada,52.9399,-106.4509,2020-07-27,1209,16,0,1193,Americas,7
45,48852,,Central African Republic,6.6111,20.9394,2020-07-27,4599,59,1546,2994,Africa,7
46,48853,,Chad,15.4542,18.7322,2020-07-27,922,75,810,37,Africa,7
47,48854,,Chile,-35.6751,-71.543,2020-07-27,347923,9187,319954,18782,Americas,7
48,48855,Anhui,China,31.8257,117.2264,2020-07-27,991,6,985,0,Western Pacific,7
49,48856,Beijing,China,40.1824,116.4142,2020-07-27,931,9,895,27,Western Pacific,7
50,48857,Chongqing,China,30.0572,107.874,2020-07-27,583,6,576,1,Western Pacific,7
51,48858,Fujian,China,26.0789,117.9874,2020-07-27,366,1,361,4,Western Pacific,7
52,48859,Gansu,China,35.7518,104.2861,2020-07-27,167,2,165,0,Western Pacific,7
53,48860,Guangdong,China,23.3417,113.4244,2020-07-27,1672,8,1645,19,Western Pacific,7
54,48861,Guangxi,China,23.8298,108.7881,2020-07-27,255,2,253,0,Western Pacific,7
55,48862,Guizhou,China,26.8154,106.8748,2020-07-27,147,2,145,0,Western Pacific,7
56,48863,Hainan,China,19.1959,109.7453,2020-07-27,171,6,165,0,Western Pacific,7
57,48864,Hebei,China,39.549,116.1306,2020-07-27,349,6,0,343,Western Pacific,7
58,48865,Heilongjiang,China,47.862,127.7615,2020-07-27,947,13,934,0,Western Pacific,7
59,48866,Henan,China,37.8957,114.9042,2020-07-27,1276,22,0,1254,Western Pacific,7
60,48867,Hong Kong,China,22.3,114.2,2020-07-27,2778,22,1486,1270,Western Pacific,7
61,48868,Hubei,China,30.9756,112.2707,2020-07-27,68135,4512,63623,0,Western Pacific,7
62,48869,Hunan,China,27.6104,111.7088,2020-07-27,1019,4,1015,0,Western Pacific,7
63,48870,Inner Mongolia,China,44.0935,113.9448,2020-07-27,258,1,244,13,Western Pacific,7
64,48871,Jiangsu,China,32.9711,119.455,2020-07-27,655,0,654,1,Western Pacific,7
65,48872,Jiangxi,China,27.614,115.7221,2020-07-27,932,1,931,0,Western Pacific,7
66,48873,Jilin,China,43.6661,126.1923,2020-07-27,157,2,153,2,Western Pacific,7
67,48874,Liaoning,China,41.2956,122.6085,2020-07-27,209,2,160,47,Western Pacific,7
68,48875,Macau,China,22.1667,113.55,2020-07-27,46,0,46,0,Western Pacific,7
69,48876,Ningxia,China,37.2692,106.1655,2020-07-27,75,0,75,0,Western Pacific,7
70,48877,Qinghai,China,35.7452,95.9956,2020-07-27,18,0,18,0,Western Pacific,7
71,48878,Shaanxi,China,35.1917,108.8701,2020-07-27,323,3,318,2,Western Pacific,7
72,48879,Shandong,China,36.3427,118.1498,2020-07-27,799,7,785,7,Western Pacific,7
73,48880,Shanghai,China,31.202,121.4491,2020-07-27,743,7,718,18,Western Pacific,7
74,48881,Shanxi,China,37.5777,112.2922,2020-07-27,201,0,201,0,Western Pacific,7
75,48882,Sichuan,China,30.6171,102.7103,2020-07-27,604,3,595,6,Western Pacific,7
76,48883,Tianjin,China,39.3054,117.323,2020-07-27,204,3,195,6,Western Pacific,7
77,48884,Tibet,China,31.6927,88.0924,2020-07-27,1,0,1,0,Western Pacific,7
78,48885,Xinjiang,China,41.1129,85.2401,2020-07-27,311,3,73,235,Western Pacific,7
79,48886,Yunnan,China,24.974,101.487,2020-07-27,190,2,186,2,Western Pacific,7
80,48887,Zhejiang,China,29.1832,120.0934,2020-07-27,1270,1,1268,1,Western Pacific,7
81,48888,,Colombia,4.5709,-74.2973,2020-07-27,257101,8777,131161,117163,Americas,7
82,48889,,Congo (Brazzaville),-0.228,15.8277,2020-07-27,3200,54,829,2317,Africa,7
83,48890,,Congo (Kinshasa),-4.0383,21.7587,2020-07-27,8844,208,5700,2936,Africa,7
84,48891,,Costa Rica,9.7489,-83.7534,2020-07-27,15841,115,3824,11902,Americas,7
85,48892,,Cote d'Ivoire,7.54,-5.5471,2020-07-27,15655,96,10361,5198,Africa,7
86,48893,,Croatia,45.1,15.2,2020-07-27,4881,139,3936,806,Europe,7
87,48894,,Cuba,21.521757,-77.78116700000002,2020-07-27,2532,87,2351,94,Americas,7
88,48895,,Cyprus,35.1264,33.4299,2020-07-27,1060,19,852,189,Europe,7
89,48896,,Czechia,49.8175,15.473,2020-07-27,15516,373,11428,3715,Europe,7
90,48897,Faroe Islands,Denmark,61.8926,-6.9118,2020-07-27,214,0,188,26,Europe,7
91,48898,Greenland,Greenland,71.7069,-42.6043,2020-07-27,14,0,13,1,Europe,7
92,48899,,Denmark,56.2639,9.5018,2020-07-27,13547,613,12417,517,Europe,7
93,48900,,Djibouti,11.8251,42.5903,2020-07-27,5059,58,4977,24,Eastern Mediterranean,7
94,48901,,Dominican Republic,18.7357,-70.1627,2020-07-27,64156,1083,30204,32869,Americas,7
95,48902,,Ecuador,-1.8312,-78.1834,2020-07-27,81161,5532,34896,40733,Americas,7
96,48903,,Egypt,26.820553000000004,30.802498,2020-07-27,92482,4652,34838,52992,Eastern Mediterranean,7
97,48904,,El Salvador,13.7942,-88.8965,2020-07-27,15035,408,7778,6849,Americas,7
98,48905,,Equatorial Guinea,1.6508,10.2679,2020-07-27,3071,51,842,2178,Africa,7
99,48906,,Eritrea,15.1794,39.7823,2020-07-27,265,0,191,74,Africa,7
100,48907,,Estonia,58.5953,25.0136,2020-07-27,2034,69,1923,42,Europe,7
101,48908,,Eswatini,-26.5225,31.4659,2020-07-27,2316,34,1025,1257,Africa,7
102,48909,,Ethiopia,9.145,40.4897,2020-07-27,14547,228,6386,7933,Africa,7
103,48910,,Fiji,-17.7134,178.065,2020-07-27,27,0,18,9,Western Pacific,7
104,48911,,Finland,61.92411,25.748151,2020-07-27,7398,329,6920,149,Europe,7
105,48912,French Guiana,France,3.9339,-53.1258,2020-07-27,7514,42,6047,1425,Europe,7
106,48913,French Polynesia,France,-17.6797,149.4068,2020-07-27,62,0,60,2,Europe,7
107,48914,Guadeloupe,France,16.265,-61.551,2020-07-27,203,14,176,13,Europe,7
108,48915,Mayotte,France,-12.8275,45.166244,2020-07-27,2900,38,2672,190,Europe,7
109,48916,New Caledonia,France,-20.904305,165.618042,2020-07-27,22,0,22,0,Europe,7
110,48917,Reunion,France,-21.1151,55.5364,2020-07-27,657,4,592,61,Europe,7
111,48918,Saint Barthelemy,France,17.9,-62.8333,2020-07-27,7,0,6,1,Europe,7
112,48919,St Martin,France,18.0708,-63.0501,2020-07-27,49,3,41,5,Europe,7
113,48920,Martinique,France,14.6415,-61.0242,2020-07-27,269,15,98,156,Europe,7
114,48921,,France,46.2276,2.2137,2020-07-27,208665,30096,71497,107072,Europe,7
115,48922,,Gabon,-0.8037,11.6094,2020-07-27,7189,49,4682,2458,Africa,7
116,48923,,Gambia,13.4432,-15.3101,2020-07-27,326,8,66,252,Africa,7
117,48924,,Georgia,42.3154,43.3569,2020-07-27,1137,16,922,199,Europe,7
118,48925,,Germany,51.165691,10.451526,2020-07-27,207112,9125,190314,7673,Europe,7
119,48926,,Ghana,7.9465,-1.0232,2020-07-27,33624,168,29801,3655,Africa,7
120,48927,,Greece,39.0742,21.8243,2020-07-27,4227,202,1374,2651,Europe,7
121,48928,,Guatemala,15.7835,-90.2308,2020-07-27,45309,1761,32455,11093,Americas,7
122,48929,,Guinea,9.9456,-9.6966,2020-07-27,7055,45,6257,753,Africa,7
123,48930,,Guyana,4.860416000000002,-58.93018000000001,2020-07-27,389,20,181,188,Americas,7
124,48931,,Haiti,18.9712,-72.2852,2020-07-27,7340,158,4365,2817,Americas,7
125,48932,,Holy See,41.9029,12.4534,2020-07-27,12,0,12,0,Europe,7
126,48933,,Honduras,15.2,-86.2419,2020-07-27,39741,1166,5039,33536,Americas,7
127,48934,,Hungary,47.1625,19.5033,2020-07-27,4448,596,3329,523,Europe,7
128,48935,,Iceland,64.9631,-19.0208,2020-07-27,1854,10,1823,21,Europe,7
129,48936,,India,20.593684,78.96288,2020-07-27,1480073,33408,951166,495499,South-East Asia,7
130,48937,,Indonesia,-0.7893,113.9213,2020-07-27,100303,4838,58173,37292,South-East Asia,7
131,48938,,Iran,32.427908,53.68804599999999,2020-07-27,293606,15912,255144,22550,Eastern Mediterranean,7
132,48939,,Iraq,33.223191,43.679291,2020-07-27,112585,4458,77144,30983,Eastern Mediterranean,7
133,48940,,Ireland,53.1424,-7.6921,2020-07-27,25892,1764,23364,764,Europe,7
134,48941,,Israel,31.046051,34.851612,2020-07-27,63985,474,27133,36378,Europe,7
135,48942,,Italy,41.87194,12.56738,2020-07-27,246286,35112,198593,12581,Europe,7
136,48943,,Jamaica,18.1096,-77.2975,2020-07-27,853,10,714,129,Americas,7
137,48944,,Japan,36.204824,138.252924,2020-07-27,31142,998,21970,8174,Western Pacific,7
138,48945,,Jordan,31.24,36.51,2020-07-27,1176,11,1041,124,Eastern Mediterranean,7
139,48946,,Kazakhstan,48.0196,66.9237,2020-07-27,84648,585,54404,29659,Europe,7
140,48947,,Kenya,-0.0236,37.9062,2020-07-27,17975,285,7833,9857,Africa,7
141,48948,,South Korea,35.90775700000001,127.766922,2020-07-27,14203,300,13007,896,Western Pacific,7
142,48949,,Kuwait,29.31166,47.481766,2020-07-27,64379,438,55057,8884,Eastern Mediterranean,7
143,48950,,Kyrgyzstan,41.20438,74.766098,2020-07-27,33296,1301,21205,10790,Europe,7
144,48951,,Latvia,56.8796,24.6032,2020-07-27,1219,31,1045,143,Europe,7
145,48952,,Lebanon,33.8547,35.8623,2020-07-27,3882,51,1709,2122,Eastern Mediterranean,7
146,48953,,Liberia,6.4280550000000005,-9.429499,2020-07-27,1167,72,646,449,Africa,7
147,48954,,Liechtenstein,47.14,9.55,2020-07-27,86,1,81,4,Europe,7
148,48955,,Lithuania,55.1694,23.8813,2020-07-27,2019,80,1620,319,Europe,7
149,48956,,Luxembourg,49.8153,6.1296,2020-07-27,6321,112,4825,1384,Europe,7
150,48957,,Madagascar,-18.766947,46.869107,2020-07-27,9690,91,6260,3339,Africa,7
151,48958,,Malaysia,4.210483999999999,101.975766,2020-07-27,8904,124,8601,179,Western Pacific,7
152,48959,,Maldives,3.2028,73.2207,2020-07-27,3369,15,2547,807,South-East Asia,7
153,48960,,Malta,35.9375,14.3754,2020-07-27,701,9,665,27,Europe,7
154,48961,,Mauritania,21.0079,-10.9408,2020-07-27,6208,156,4653,1399,Africa,7
155,48962,,Mauritius,-20.348404,57.552152,2020-07-27,344,10,332,2,Africa,7
156,48963,,Mexico,23.6345,-102.5528,2020-07-27,395489,44022,303810,47657,Americas,7
157,48964,,Moldova,47.4116,28.3699,2020-07-27,23154,748,16154,6252,Europe,7
158,48965,,Monaco,43.7333,7.4167,2020-07-27,116,4,104,8,Europe,7
159,48966,,Mongolia,46.8625,103.8467,2020-07-27,289,0,222,67,Western Pacific,7
160,48967,,Montenegro,42.708678000000006,19.37439,2020-07-27,2893,45,809,2039,Europe,7
161,48968,,Morocco,31.7917,-7.0926,2020-07-27,20887,316,16553,4018,Eastern Mediterranean,7
162,48969,,Namibia,-22.9576,18.4904,2020-07-27,1843,8,101,1734,Africa,7
163,48970,,Nepal,28.1667,84.25,2020-07-27,18752,48,13754,4950,South-East Asia,7
164,48971,Aruba,Netherlands,12.5211,-69.9683,2020-07-27,119,3,102,14,Europe,7
165,48972,Curacao,Netherlands,12.1696,-68.99,2020-07-27,29,1,24,4,Europe,7
166,48973,Sint Maarten,Netherlands,18.0425,-63.0548,2020-07-27,114,15,63,36,Europe,7
167,48974,,Netherlands,52.1326,5.2913,2020-07-27,53151,6141,0,47010,Europe,7
168,48975,,New Zealand,-40.9006,174.886,2020-07-27,1557,22,1514,21,Western Pacific,7
169,48976,,Nicaragua,12.865416,-85.207229,2020-07-27,3439,108,2492,839,Americas,7
170,48977,,Niger,17.607789,8.081666,2020-07-27,1132,69,1027,36,Africa,7
171,48978,,Nigeria,9.082,8.6753,2020-07-27,41180,860,18203,22117,Africa,7
172,48979,,North Macedonia,41.6086,21.7453,2020-07-27,10213,466,5564,4183,Europe,7
173,48980,,Norway,60.472,8.4689,2020-07-27,9132,255,8752,125,Europe,7
174,48981,,Oman,21.512583,55.92325500000001,2020-07-27,77058,393,57028,19637,Eastern Mediterranean,7
175,48982,,Pakistan,30.3753,69.3451,2020-07-27,274289,5842,241026,27421,Eastern Mediterranean,7
176,48983,,Panama,8.538,-80.7821,2020-07-27,61442,1322,35086,25034,Americas,7
177,48984,,Papua New Guinea,-6.314993,143.95555,2020-07-27,62,0,11,51,Western Pacific,7
178,48985,,Paraguay,-23.4425,-58.4438,2020-07-27,4548,43,2905,1600,Americas,7
179,48986,,Peru,-9.19,-75.0152,2020-07-27,389717,18418,272547,98752,Americas,7
180,48987,,Philippines,12.879721,121.774017,2020-07-27,82040,1945,26446,53649,Western Pacific,7
181,48988,,Poland,51.9194,19.1451,2020-07-27,43402,1676,32856,8870,Europe,7
182,48989,,Portugal,39.3999,-8.2245,2020-07-27,50299,1719,35375,13205,Europe,7
183,48990,,Qatar,25.3548,51.1839,2020-07-27,109597,165,106328,3104,Eastern Mediterranean,7
184,48991,,Romania,45.9432,24.9668,2020-07-27,45902,2206,25794,17902,Europe,7
185,48992,,Russia,61.52401,105.318756,2020-07-27,816680,13334,602249,201097,Europe,7
186,48993,,Rwanda,-1.9403,29.8739,2020-07-27,1879,5,975,899,Africa,7
187,48994,,Saint Lucia,13.9094,-60.9789,2020-07-27,24,0,22,2,Americas,7
188,48995,,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-07-27,52,0,39,13,Americas,7
189,48996,,San Marino,43.9424,12.4578,2020-07-27,699,42,657,0,Europe,7
190,48997,,Saudi Arabia,23.885942,45.079162,2020-07-27,268934,2760,222936,43238,Eastern Mediterranean,7
191,48998,,Senegal,14.4974,-14.4524,2020-07-27,9764,194,6477,3093,Africa,7
192,48999,,Serbia,44.0165,21.0059,2020-07-27,24141,543,0,23598,Europe,7
193,49000,,Seychelles,-4.6796,55.492,2020-07-27,114,0,39,75,Africa,7
194,49001,,Singapore,1.2833,103.8333,2020-07-27,50838,27,45692,5119,Western Pacific,7
195,49002,,Slovakia,48.669,19.699,2020-07-27,2181,28,1616,537,Europe,7
196,49003,,Slovenia,46.1512,14.9955,2020-07-27,2087,116,1733,238,Europe,7
197,49004,,Somalia,5.152149,46.199616,2020-07-27,3196,93,1543,1560,Eastern Mediterranean,7
198,49005,,South Africa,-30.5595,22.9375,2020-07-27,452529,7067,274925,170537,Africa,7
199,49006,,Spain,40.463667,-3.74922,2020-07-27,272421,28432,150376,93613,Europe,7
200,49007,,Sri Lanka,7.873054,80.77179699999998,2020-07-27,2805,11,2121,673,South-East Asia,7
201,49008,,Sudan,12.8628,30.2176,2020-07-27,11424,720,5939,4765,Eastern Mediterranean,7
202,49009,,Suriname,3.9193,-56.0278,2020-07-27,1483,24,925,534,Americas,7
203,49010,,Sweden,60.128161,18.643501,2020-07-27,79395,5700,0,73695,Europe,7
204,49011,,Switzerland,46.8182,8.2275,2020-07-27,34477,1978,30900,1599,Europe,7
205,49012,,Taiwan*,23.7,121.0,2020-07-27,462,7,440,15,Western Pacific,7
206,49013,,Tanzania,-6.369028,34.888822,2020-07-27,509,21,183,305,Africa,7
207,49014,,Thailand,15.870032,100.992541,2020-07-27,3297,58,3111,128,South-East Asia,7
208,49015,,Togo,8.6195,0.8248,2020-07-27,874,18,607,249,Africa,7
209,49016,,Trinidad and Tobago,10.6918,-61.2225,2020-07-27,148,8,128,12,Americas,7
210,49017,,Tunisia,33.886917,9.537499,2020-07-27,1455,50,1157,248,Eastern Mediterranean,7
211,49018,,Turkey,38.9637,35.2433,2020-07-27,227019,5630,210469,10920,Europe,7
212,49019,,Uganda,1.373333,32.290275,2020-07-27,1128,2,986,140,Africa,7
213,49020,,Ukraine,48.3794,31.1656,2020-07-27,67096,1636,37202,28258,Europe,7
214,49021,,United Arab Emirates,23.424076,53.847818,2020-07-27,59177,345,52510,6322,Eastern Mediterranean,7
215,49022,Bermuda,United Kingdom,32.3078,-64.7505,2020-07-27,154,9,141,4,Europe,7
216,49023,Cayman Islands,United Kingdom,19.3133,-81.2546,2020-07-27,203,1,202,0,Europe,7
217,49024,Channel Islands,United Kingdom,49.3723,-2.3644,2020-07-27,584,47,533,4,Europe,7
218,49025,Gibraltar,United Kingdom,36.1408,-5.3536,2020-07-27,185,0,180,5,Europe,7
219,49026,Isle of Man,United Kingdom,54.2361,-4.5481,2020-07-27,336,24,312,0,Europe,7
220,49027,Montserrat,United Kingdom,16.742498,-62.187366,2020-07-27,12,1,10,1,Europe,7
221,49028,,United Kingdom,55.3781,-3.4360000000000004,2020-07-27,300111,45759,0,254352,Europe,7
222,49029,,Uruguay,-32.5228,-55.7658,2020-07-27,1202,35,951,216,Americas,7
223,49030,,US,40.0,-100.0,2020-07-27,4290259,148011,1325804,2816444,Americas,7
224,49031,,Uzbekistan,41.377491,64.585262,2020-07-27,21209,121,11674,9414,Europe,7
225,49032,,Venezuela,6.4238,-66.5897,2020-07-27,15988,146,9959,5883,Americas,7
226,49033,,Vietnam,14.058324,108.277199,2020-07-27,431,0,365,66,Western Pacific,7
227,49034,,Zambia,-13.133897,27.849332,2020-07-27,4552,140,2815,1597,Africa,7
228,49035,,Zimbabwe,-19.015438,29.154857,2020-07-27,2704,36,542,2126,Africa,7
229,49036,,Dominica,15.415,-61.371,2020-07-27,18,0,18,0,Americas,7
230,49037,,Grenada,12.1165,-61.679,2020-07-27,23,0,23,0,Americas,7
231,49038,,Mozambique,-18.665695,35.529562,2020-07-27,1701,11,0,1690,Africa,7
232,49039,,Syria,34.802075,38.99681500000001,2020-07-27,674,40,0,634,Eastern Mediterranean,7
233,49040,,Timor-Leste,-8.874217,125.727539,2020-07-27,24,0,0,24,South-East Asia,7
234,49041,,Belize,17.1899,-88.4976,2020-07-27,48,2,26,20,Americas,7
235,49042,,Laos,19.85627,102.495496,2020-07-27,20,0,19,1,Western Pacific,7
236,49043,,Libya,26.3351,17.228331,2020-07-27,2827,64,577,2186,Eastern Mediterranean,7
237,49044,,West Bank and Gaza,31.9522,35.2332,2020-07-27,10621,78,3752,6791,Eastern Mediterranean,7
238,49045,,Guinea-Bissau,11.8037,-15.1804,2020-07-27,1954,26,803,1125,Africa,7
239,49046,,Mali,17.570692,-3.996166000000001,2020-07-27,2513,124,1913,476,Africa,7
240,49047,,Saint Kitts and Nevis,17.357822,-62.782998,2020-07-27,17,0,15,2,Americas,7
241,49048,Northwest Territories,Canada,64.8255,-124.8457,2020-07-27,5,0,0,5,Americas,7
242,49049,Yukon,Canada,64.2823,-135.0,2020-07-27,14,0,0,14,Americas,7
243,49050,,Kosovo,42.602636,20.902977,2020-07-27,7413,185,4027,3201,Europe,7
244,49051,,Burma,21.9162,95.956,2020-07-27,350,6,292,52,South-East Asia,7
245,49052,Anguilla,United Kingdom,18.2206,-63.0686,2020-07-27,3,0,3,0,Europe,7
246,49053,British Virgin Islands,United Kingdom,18.4207,-64.64,2020-07-27,8,1,7,0,Europe,7
247,49054,Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,2020-07-27,99,2,36,61,Europe,7
248,49055,,Botswana,-22.3285,24.6849,2020-07-27,739,2,63,674,Africa,7
249,49056,,Burundi,-3.3731,29.9189,2020-07-27,378,1,301,76,Africa,7
250,49057,,Sierra Leone,8.460555000000001,-11.779889,2020-07-27,1783,66,1317,400,Africa,7
251,49058,,Malawi,-13.2543,34.3015,2020-07-27,3664,99,1645,1920,Africa,7
252,49059,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020-07-27,13,0,13,0,Europe,7
253,49060,Saint Pierre and Miquelon,France,46.8852,-56.3159,2020-07-27,4,0,1,3,Europe,7
254,49061,,South Sudan,6.877000000000002,31.307,2020-07-27,2305,46,1175,1084,Africa,7
255,49062,,Western Sahara,24.2155,-12.8858,2020-07-27,10,1,8,1,Africa,7
256,49063,,Sao Tome and Principe,0.1864,6.6131,2020-07-27,865,14,734,117,Africa,7
257,49064,,Yemen,15.552727,48.516388,2020-07-27,1691,483,833,375,Eastern Mediterranean,7
258,49065,,Comoros,-11.6455,43.3333,2020-07-27,354,7,328,19,Africa,7
259,49066,,Tajikistan,38.861,71.2761,2020-07-27,7235,60,6028,1147,Europe,7
260,49067,,Lesotho,-29.61,28.2336,2020-07-27,505,12,128,365,Africa,7
